,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),NI,40.8,84.2,116.5,139.3
Total cash(figures in $M),NI,40.8,84.2,116.5,139.3
Net receivables(figures in $M),NI,1041.9,825.6,791.3,856.9
Inventory(figures in $M),NI,751.9,498.7,401.1,424.7
Other current assets(figures in $M),NI,233.2,206.2,135.7,225.7
Total current assets(figures in $M),NI,2584.3,1920.8,1659.4,1853.9
"Gross property, plant and equipment(figures in $M)",NI,27551.3,25171.3,24179.9,24541.9
Accumulated depreciation(figures in $M),NI,-7708.7,-7289.5,-7560.4,-7629.7
"Net property, plant and equipment(figures in $M)",NI,19842.6,17881.8,16619.5,16912.2
Equity and other investments(figures in $M),NI,224.2,259.7,252.0,230.2
Goodwill(figures in $M),NI,1485.9,1485.9,1485.9,1485.9
Total non-current assets(figures in $M),NI,24152.3,22236.1,20381.1,20805.9
Total assets(figures in $M),NI,26736.6,24156.9,22040.5,22659.8
Current debt(figures in $M),NI,2139.1,618.1,526.3,1786.6
Accounts payable(figures in $M),NI,899.5,697.8,589.0,666.0
Accrued liabilities(figures in $M),NI,499.1,487.5,246.9,408.9
Deferred revenues(figures in $M),NI,324.7,237.9,243.3,256.4
Other current liabilities(figures in $M),NI,236.8,137.4,239.5,160.2
Total current liabilities(figures in $M),NI,4660.5,2746.2,2279.4,3745.8
Long-term debt(figures in $M),NI,9523.6,9183.4,9219.8,7856.2
Deferred tax liabilities(figures in $M),NI,1854.5,1659.4,1470.6,1495.0
Other long-term liabilities(figures in $M),NI,296.8,690.2,286.1,218.5
Total non-current liabilities(figures in $M),NI,14174.3,14137.8,13923.3,12927.3
Total liabilities(figures in $M),NI,18834.8,16884.0,16202.7,16673.1
Common stock(figures in $M),NI,1550.7,1550.6,883.9,883.8
Retained earnings(figures in $M),NI,-1213.6,-1580.9,-1765.2,-1370.8
Accumulated other comprehensive income(figures in $M),NI,-37.1,-126.8,-156.7,-92.6
Total stockholders' equity(figures in $M),NI,7575.4,6947.3,5752.2,5986.7
Total liabilities and stockholders' equity(figures in $M),NI,26736.6,24156.9,22040.5,22659.8
