,ticker,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Cash and cash equivalents(figures in $M),GPS,1215.0,877.0,1988.0,1364.0
Other short-term investments(figures in $M),GPS,0.0,0.0,410.0,290.0
Total cash(figures in $M),GPS,1215.0,877.0,2398.0,1654.0
Net receivables(figures in $M),GPS,340.0,399.0,363.0,316.0
Inventory(figures in $M),GPS,2389.0,3018.0,2451.0,2156.0
Other current assets(figures in $M),GPS,1013.0,1270.0,1159.0,706.0
Total current assets(figures in $M),GPS,4617.0,5165.0,6008.0,4516.0
"Gross property, plant and equipment(figures in $M)",GPS,5861.0,6712.0,7058.0,8524.0
Accumulated depreciation(figures in $M),GPS,-4837.0,-5071.0,-5608.0,-5839.0
"Net property, plant and equipment(figures in $M)",GPS,5861.0,6712.0,7058.0,8524.0
Goodwill(figures in $M),GPS,207.0,207.0,109.0,109.0
Intangible assets(figures in $M),GPS,81.0,90.0,61.0,121.0
Other long-term assets(figures in $M),GPS,908.0,884.0,703.0,639.0
Total non-current assets(figures in $M),GPS,6769.0,7596.0,7761.0,9163.0
Total assets(figures in $M),GPS,11386.0,12761.0,13769.0,13679.0
Accounts payable(figures in $M),GPS,1320.0,1951.0,1743.0,1174.0
Taxes payable(figures in $M),GPS,50.0,25.0,34.0,48.0
Accrued liabilities(figures in $M),GPS,1219.0,1367.0,1276.0,1067.0
Deferred revenues(figures in $M),GPS,354.0,345.0,231.0,226.0
Other current liabilities(figures in $M),GPS,472.0,365.0,478.0,419.0
Total current liabilities(figures in $M),GPS,3256.0,4077.0,3884.0,3209.0
Long-term debt(figures in $M),GPS,1836.0,1484.0,2216.0,1249.0
Other long-term liabilities(figures in $M),GPS,544.0,445.0,438.0,397.0
Total non-current liabilities(figures in $M),GPS,5897.0,5962.0,7271.0,7154.0
Total liabilities(figures in $M),GPS,9153.0,10039.0,11155.0,10363.0
Common stock(figures in $M),GPS,18.0,19.0,19.0,19.0
Retained earnings(figures in $M),GPS,2140.0,2622.0,2501.0,3257.0
Accumulated other comprehensive income(figures in $M),GPS,48.0,38.0,9.0,40.0
Total stockholders' equity(figures in $M),GPS,2233.0,2722.0,2614.0,3316.0
Total liabilities and stockholders' equity(figures in $M),GPS,11386.0,12761.0,13769.0,13679.0
