,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),SCHW,20762.0,20762.0,18520.0,11691.0,10721.0
Interest expense(figures in $M),SCHW,1545.0,1545.0,476.0,418.0,1064.0
Income before tax(figures in $M),SCHW,9388.0,9388.0,7713.0,4300.0,4848.0
Income tax expense(figures in $M),SCHW,2205.0,2205.0,1858.0,1001.0,1144.0
Income from continuing operations(figures in $M),SCHW,7183.0,7183.0,5855.0,3299.0,3704.0
Net income(figures in $M),SCHW,7183.0,7183.0,5855.0,3299.0,3704.0
Net income available to common shareholders(figures in $M),SCHW,6635.0,6635.0,5360.0,3043.0,3526.0
Basic EPS(figures in $M),SCHW,,3.52e-06,2.84e-06,2.13e-06,2.69e-06
Diluted EPS(figures in $M),SCHW,,3.5e-06,2.83e-06,2.12e-06,2.67e-06
Basic average shares(figures in $M),SCHW,,1885.0,1887.0,1429.0,1311.0
Diluted average shares(figures in $M),SCHW,,1894.0,1897.0,1435.0,1320.0
