,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),MAR,507.0,1393.0,877.0,225.0
Total cash(figures in $M),MAR,507.0,1393.0,877.0,225.0
Net receivables(figures in $M),MAR,2571.0,1982.0,1768.0,2395.0
Other current assets(figures in $M),MAR,235.0,0.0,0.0,0.0
Total current assets(figures in $M),MAR,3313.0,3626.0,2825.0,3127.0
"Gross property, plant and equipment(figures in $M)",MAR,3446.0,3415.0,3154.0,4093.0
Accumulated depreciation(figures in $M),MAR,-874.0,-850.0,-888.0,-1301.0
"Net property, plant and equipment(figures in $M)",MAR,2572.0,2565.0,2266.0,2792.0
Equity and other investments(figures in $M),MAR,335.0,387.0,422.0,577.0
Goodwill(figures in $M),MAR,8872.0,9073.0,9175.0,9048.0
Intangible assets(figures in $M),MAR,8747.0,8926.0,8989.0,8641.0
Other long-term assets(figures in $M),MAR,584.0,604.0,616.0,595.0
Total non-current assets(figures in $M),MAR,21502.0,21927.0,21876.0,21924.0
Total assets(figures in $M),MAR,24815.0,25553.0,24701.0,25051.0
Current debt(figures in $M),MAR,684.0,805.0,1173.0,977.0
Accounts payable(figures in $M),MAR,746.0,726.0,527.0,720.0
Accrued liabilities(figures in $M),MAR,2595.0,2354.0,2283.0,2722.0
Other current liabilities(figures in $M),MAR,3314.0,2522.0,1769.0,2258.0
Total current liabilities(figures in $M),MAR,7339.0,6407.0,5752.0,6677.0
Long-term debt(figures in $M),MAR,9380.0,9333.0,9203.0,9963.0
Deferred tax liabilities(figures in $M),MAR,313.0,169.0,83.0,290.0
Deferred revenues(figures in $M),MAR,1059.0,1181.0,1542.0,840.0
Other long-term liabilities(figures in $M),MAR,5122.0,5951.0,6868.0,5696.0
Total non-current liabilities(figures in $M),MAR,16908.0,17732.0,18519.0,17671.0
Total liabilities(figures in $M),MAR,24247.0,24139.0,24271.0,24348.0
Common stock(figures in $M),MAR,5.0,5.0,5.0,5.0
Retained earnings(figures in $M),MAR,12342.0,10305.0,9206.0,9644.0
Accumulated other comprehensive income(figures in $M),MAR,-729.0,-342.0,-135.0,-361.0
Total stockholders' equity(figures in $M),MAR,568.0,1414.0,430.0,703.0
Total liabilities and stockholders' equity(figures in $M),MAR,24815.0,25553.0,24701.0,25051.0
