,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),AMD,4835.0,2535.0,1595.0,1466.0
Other short-term investments(figures in $M),AMD,1020.0,1073.0,695.0,37.0
Total cash(figures in $M),AMD,5855.0,3608.0,2290.0,1503.0
Net receivables(figures in $M),AMD,4126.0,2706.0,2066.0,1859.0
Inventory(figures in $M),AMD,3771.0,1955.0,1399.0,982.0
Other current assets(figures in $M),AMD,1265.0,312.0,378.0,233.0
Total current assets(figures in $M),AMD,15019.0,8583.0,6143.0,4597.0
"Gross property, plant and equipment(figures in $M)",AMD,1973.0,1069.0,849.0,705.0
Accumulated depreciation(figures in $M),AMD,-1507.0,-1134.0,-912.0,-768.0
"Net property, plant and equipment(figures in $M)",AMD,1973.0,1069.0,849.0,705.0
Equity and other investments(figures in $M),AMD,83.0,69.0,63.0,58.0
Goodwill(figures in $M),AMD,24177.0,289.0,289.0,289.0
Intangible assets(figures in $M),AMD,24118.0,328.0,229.0,210.0
Other long-term assets(figures in $M),AMD,2152.0,1478.0,373.0,379.0
Total non-current assets(figures in $M),AMD,52561.0,3836.0,2819.0,1431.0
Total assets(figures in $M),AMD,67580.0,12419.0,8962.0,6028.0
Current debt(figures in $M),AMD,0.0,312.0,0.0,0.0
Accounts payable(figures in $M),AMD,2493.0,1321.0,468.0,988.0
Accrued liabilities(figures in $M),AMD,3077.0,2424.0,1796.0,1084.0
Deferred revenues(figures in $M),AMD,859.0,0.0,0.0,2.0
Other current liabilities(figures in $M),AMD,336.0,98.0,75.0,74.0
Total current liabilities(figures in $M),AMD,6369.0,4240.0,2417.0,2359.0
Long-term debt(figures in $M),AMD,2467.0,1.0,330.0,486.0
Deferred tax liabilities(figures in $M),AMD,1934.0,0.0,0.0,0.0
Other long-term liabilities(figures in $M),AMD,1664.0,333.0,177.0,157.0
Total non-current liabilities(figures in $M),AMD,6461.0,682.0,708.0,842.0
Total liabilities(figures in $M),AMD,12830.0,4922.0,3125.0,3201.0
Common stock(figures in $M),AMD,16.0,12.0,12.0,12.0
Retained earnings(figures in $M),AMD,-131.0,-1451.0,-4605.0,-7095.0
Accumulated other comprehensive income(figures in $M),AMD,-41.0,-3.0,17.0,0.0
Total stockholders' equity(figures in $M),AMD,54750.0,7497.0,5837.0,2827.0
Total liabilities and stockholders' equity(figures in $M),AMD,67580.0,12419.0,8962.0,6028.0
