,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total assets(figures in $M),WFC,1881016.0,1948068.0,1955163.0,1927555.0
Total liabilities(figures in $M),WFC,1699141.0,1757958.0,1769243.0,1739571.0
Common stock(figures in $M),WFC,28584.0,29193.0,30272.0,30685.0
Retained earnings(figures in $M),WFC,187649.0,180322.0,162890.0,166697.0
Accumulated other comprehensive income(figures in $M),WFC,-13381.0,-1702.0,194.0,-1311.0
Total stockholders' equity(figures in $M),WFC,179889.0,187606.0,184887.0,187146.0
Total liabilities and stockholders' equity(figures in $M),WFC,1881016.0,1948068.0,1955163.0,1927555.0
