,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),ROP,792.8,351.5,308.3,709.7
Total cash(figures in $M),ROP,792.8,351.5,308.3,709.7
Net receivables(figures in $M),ROP,724.5,839.4,863.0,791.6
Inventory(figures in $M),ROP,111.3,176.1,198.4,198.6
Other current assets(figures in $M),ROP,151.3,142.5,119.0,97.6
Total current assets(figures in $M),ROP,1932.4,2421.1,1752.3,1999.5
"Gross property, plant and equipment(figures in $M)",ROP,336.6,439.0,474.7,474.7
Accumulated depreciation(figures in $M),ROP,-251.3,-336.2,-334.8,-334.8
"Net property, plant and equipment(figures in $M)",ROP,85.3,102.8,140.6,139.9
Equity and other investments(figures in $M),ROP,535.0,0.0,0.0,0.0
Goodwill(figures in $M),ROP,15946.1,14094.5,14395.2,10815.4
Intangible assets(figures in $M),ROP,8030.7,6588.5,7206.9,4667.7
Other long-term assets(figures in $M),ROP,395.4,405.9,425.8,390.8
Total non-current assets(figures in $M),ROP,25048.4,21292.8,22272.5,16109.4
Total assets(figures in $M),ROP,26980.8,23713.9,24024.8,18108.9
Current debt(figures in $M),ROP,699.2,799.2,502.0,602.2
Accounts payable(figures in $M),ROP,122.6,150.8,177.8,162.0
Taxes payable(figures in $M),ROP,16.6,132.0,26.9,215.1
Accrued liabilities(figures in $M),ROP,454.6,440.7,457.0,346.2
Deferred revenues(figures in $M),ROP,1370.7,1130.2,994.6,831.8
Other current liabilities(figures in $M),ROP,0.0,159.1,0.0,0.0
Total current liabilities(figures in $M),ROP,2892.5,3121.8,2444.4,2397.4
Long-term debt(figures in $M),ROP,5962.5,7122.6,9064.5,4673.1
Deferred tax liabilities(figures in $M),ROP,1676.8,1479.5,1562.5,1108.1
Other long-term liabilities(figures in $M),ROP,411.2,426.2,473.6,438.4
Total non-current liabilities(figures in $M),ROP,8050.5,9028.3,11100.6,6219.6
Total liabilities(figures in $M),ROP,10943.0,12150.1,13545.0,8617.0
Common stock(figures in $M),ROP,1.1,1.1,1.1,1.1
Retained earnings(figures in $M),ROP,13730.7,9455.6,8546.2,7818.0
Accumulated other comprehensive income(figures in $M),ROP,-187.0,-183.1,-147.0,-212.8
Total stockholders' equity(figures in $M),ROP,16037.8,11563.8,10479.8,9491.9
Total liabilities and stockholders' equity(figures in $M),ROP,26980.8,23713.9,24024.8,18108.9
