,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),DHR,5995.0,2586.0,6035.0,19912.3
Total cash(figures in $M),DHR,5995.0,2586.0,6035.0,19912.3
Net receivables(figures in $M),DHR,4918.0,4631.0,4045.0,3191.4
Inventory(figures in $M),DHR,3110.0,2767.0,2292.0,1628.3
Other current assets(figures in $M),DHR,1860.0,0.0,0.0,0.0
Total current assets(figures in $M),DHR,15883.0,11648.0,13802.0,25596.6
"Gross property, plant and equipment(figures in $M)",DHR,7849.0,7255.0,6444.0,5063.4
Accumulated depreciation(figures in $M),DHR,-3893.0,-3465.0,-3182.0,-2761.4
"Net property, plant and equipment(figures in $M)",DHR,3956.0,3790.0,3262.0,2302.0
Goodwill(figures in $M),DHR,39752.0,41184.0,35420.0,22712.5
Intangible assets(figures in $M),DHR,20300.0,22843.0,21282.0,9749.7
Other long-term assets(figures in $M),DHR,4459.0,3719.0,2395.0,1720.8
Total non-current assets(figures in $M),DHR,68467.0,71536.0,62359.0,36485.0
Total assets(figures in $M),DHR,84350.0,83184.0,76161.0,62081.6
Current debt(figures in $M),DHR,591.0,8.0,11.0,212.4
Accounts payable(figures in $M),DHR,2296.0,2569.0,2049.0,1514.4
Accrued liabilities(figures in $M),DHR,5502.0,5563.0,5342.0,3205.3
Deferred revenues(figures in $M),DHR,1648.0,1613.0,1212.0,687.8
Other current liabilities(figures in $M),DHR,1257.0,1297.0,1727.0,805.7
Total current liabilities(figures in $M),DHR,8389.0,8140.0,7402.0,4932.1
Long-term debt(figures in $M),DHR,19086.0,22168.0,21193.0,21516.7
Deferred revenues(figures in $M),DHR,235.0,213.0,205.0,118.1
Other long-term liabilities(figures in $M),DHR,6785.0,7699.0,7789.0,5350.9
Total non-current liabilities(figures in $M),DHR,25871.0,29867.0,28982.0,26867.6
Total liabilities(figures in $M),DHR,34260.0,38007.0,36384.0,31799.7
Common stock(figures in $M),DHR,1677.0,3277.0,3277.0,1608.0
Retained earnings(figures in $M),DHR,39205.0,32827.0,27159.0,24166.3
Accumulated other comprehensive income(figures in $M),DHR,-2872.0,-1027.0,-368.0,-3068.3
Total stockholders' equity(figures in $M),DHR,50082.0,45167.0,39766.0,30270.6
Total liabilities and stockholders' equity(figures in $M),DHR,84350.0,83184.0,76161.0,62081.6
