,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total assets(figures in $M),AIG,526634.0,596112.0,586481.0,525064.0
Total liabilities(figures in $M),AIG,484399.0,527200.0,519282.0,457637.0
Common stock(figures in $M),AIG,5251.0,5251.0,5251.0,5251.0
Retained earnings(figures in $M),AIG,33032.0,23785.0,15504.0,23084.0
Accumulated other comprehensive income(figures in $M),AIG,-22092.0,6687.0,13511.0,4982.0
Total stockholders' equity(figures in $M),AIG,40002.0,65956.0,66362.0,65675.0
Total liabilities and stockholders' equity(figures in $M),AIG,526634.0,596112.0,586481.0,525064.0
