,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),BK,16034.0,16034.0,15633.0,15472.0,16088.0
Interest expense(figures in $M),BK,3614.0,3614.0,227.0,1132.0,4360.0
Income before tax(figures in $M),BK,3328.0,3328.0,4648.0,4468.0,5587.0
Income tax expense(figures in $M),BK,768.0,768.0,877.0,842.0,1120.0
Income from continuing operations(figures in $M),BK,2560.0,2560.0,3771.0,3626.0,4467.0
Net income(figures in $M),BK,2573.0,2573.0,3759.0,3617.0,4441.0
Net income available to common shareholders(figures in $M),BK,2362.0,2362.0,3552.0,3423.0,4272.0
Basic EPS(figures in $M),BK,,2.91e-06,4.17e-06,3.84e-06,4.53e-06
Diluted EPS(figures in $M),BK,,2.8999999999999998e-06,4.139999999999999e-06,3.83e-06,4.51e-06
Basic average shares(figures in $M),BK,,811.068,851.905,890.839,939.623
Diluted average shares(figures in $M),BK,,814.795,856.359,892.514,943.109
