,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),AIZ,10193.0,10193.0,10187.6,9593.4,10072.5
Interest expense(figures in $M),AIZ,108.3,108.3,111.8,104.5,110.6
Income before tax(figures in $M),AIZ,349.9,349.9,783.0,580.8,554.5
Income tax expense(figures in $M),AIZ,73.3,73.3,169.5,60.4,167.7
Income from continuing operations(figures in $M),AIZ,276.6,276.6,613.5,520.4,386.8
Net income(figures in $M),AIZ,276.6,276.6,1372.4,441.8,382.6
Net income available to common shareholders(figures in $M),AIZ,276.6,276.6,1367.7,423.1,363.9
Basic EPS(figures in $M),AIZ,,5.0899999999999995e-06,2.295e-05,7.02e-06,5.87e-06
Diluted EPS(figures in $M),AIZ,,5.05e-06,2.266e-05,6.98e-06,5.84e-06
Basic average shares(figures in $M),AIZ,,54.372,59.141,60.115,61.943
Diluted average shares(figures in $M),AIZ,,54.783,60.124,63.18,62.313
